[propoxur] %,Combined weight (g),No dead,
0.01,1.2,0,
0.05,1.3,2,
0.1,1.1,2,
0,1.3,0,
0.0001,1.4,0,
0.001,1.7,0,
0.01,1.6,0,
0.05,1.2,0,
0.06,1.8,0,
0.08,1.4,1,
0.1,1.5,2,
0.1,0.5,2,
0.02,0.5,2,
0.01,0.5,0,
0.002,0.3,0,
0.001,0.3,0,
0.0001,0.5,0,
0,0.6,0,
0.1,1.4,2,
0.05,0.6,2,
0.01,0.5,1,
0.005,0.8,0,
0.001,0.6,0,
0.0001,0.5,0,
0,1.5,0,
0,1.1,0,
0.1,0.5,2,
0.01,0.8,2,
0.001,0.7,0,
0.0001,0.7,0,
0.03,0.6,2,
0.003,0.7,0,
0,0.05,0,
0.1,0.3,2,
0.01,0.45,1,
0.001,0.2,2,
0.0001,0.35,2,
0.02,0.55,2,
0.002,0.25,1,
0,0.7,0,
0.1,0.5,2,
0.05,0.5,2,
0.01,0.6,1,
0.005,0.4,0,
0.001,0.7,0,
0.0001,0.7,1,
0.1,0.3,2,
0.01,0.5,1,
0.005,0.6,1,
0.001,0.9,0,
0.0005,0.4,0,
0.0001,0.3,0,
0,0.7,0,
0,0.5,0,
0.0001,0.4,1,
0.005,0.4,0,
0.001,0.5,0,
0.05,0.5,1,
0.01,0.6,0,
0.1,0.9,1,
0.1,0.4,2,
0.05,0.5,2,
0.01,0.5,2,
0.005,0.5,1,
0.001,0.3,1,
0.0001,0.4,0,
0,0.5,0,
0,0.3,0,
0.0001,0.6,0,
0.004,0.6,1,
0.006,0.5,1,
0.001,0.6,1,
0.01,0.5,0,
0.1,0.5,2,
0,0.9,0,
0.1,0.9,2,
0.01,0.8,1,
0.001,1.0,0,
0.0001,1.2,0,
0.00001,1.2,0,
0.04,1.2,1,
0.07,1.0,2,
0,1.3,0,
0.0001,1.4,0,
0.001,1.7,0,
0.01,1.6,0,
0.05,1.2,0,
0.06,1.8,0,
0.08,1.4,1,
0.1,1.5,2,
